                               Labor Force Data by County, 2021 Annual Averages

                 State  County
                 FIPS   FIPS                                                                  Labor                     Unemployed
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                2021        26,341       25,599        742      2.8
CN0100300000000   01     003   Baldwin County, AL                                2021        99,427       96,481      2,946      3.0
CN0100500000000   01     005   Barbour County, AL                                2021         8,197        7,728        469      5.7
CN0100700000000   01     007   Bibb County, AL                                   2021         8,560        8,262        298      3.5
CN0100900000000   01     009   Blount County, AL                                 2021        25,127       24,529        598      2.4
CN0101100000000   01     011   Bullock County, AL                                2021         4,606        4,422        184      4.0
CN0101300000000   01     013   Butler County, AL                                 2021         8,796        8,328        468      5.3
CN0101500000000   01     015   Calhoun County, AL                                2021        46,118       44,212      1,906      4.1
CN0101700000000   01     017   Chambers County, AL                               2021        15,752       15,173        579      3.7
CN0101900000000   01     019   Cherokee County, AL                               2021        11,808       11,512        296      2.5
CN0102100000000   01     021   Chilton County, AL                                2021        19,811       19,246        565      2.9
CN0102300000000   01     023   Choctaw County, AL                                2021         4,591        4,391        200      4.4
CN0102500000000   01     025   Clarke County, AL                                 2021         7,726        7,264        462      6.0
CN0102700000000   01     027   Clay County, AL                                   2021         6,095        5,930        165      2.7
CN0102900000000   01     029   Cleburne County, AL                               2021         5,890        5,739        151      2.6
CN0103100000000   01     031   Coffee County, AL                                 2021        21,853       21,243        610      2.8
CN0103300000000   01     033   Colbert County, AL                                2021        23,460       22,524        936      4.0
CN0103500000000   01     035   Conecuh County, AL                                2021         4,376        4,164        212      4.8
CN0103700000000   01     037   Coosa County, AL                                  2021         4,343        4,209        134      3.1
CN0103900000000   01     039   Covington County, AL                              2021        15,215       14,756        459      3.0
CN0104100000000   01     041   Crenshaw County, AL                               2021         6,133        5,931        202      3.3
CN0104300000000   01     043   Cullman County, AL                                2021        38,858       37,943        915      2.4
CN0104500000000   01     045   Dale County, AL                                   2021        20,915       20,257        658      3.1
CN0104700000000   01     047   Dallas County, AL                                 2021        13,959       12,924      1,035      7.4
CN0104900000000   01     049   DeKalb County, AL                                 2021        31,097       30,308        789      2.5
CN0105100000000   01     051   Elmore County, AL                                 2021        37,582       36,560      1,022      2.7
CN0105300000000   01     053   Escambia County, AL                               2021        14,000       13,425        575      4.1
CN0105500000000   01     055   Etowah County, AL                                 2021        39,262       37,658      1,604      4.1
CN0105700000000   01     057   Fayette County, AL                                2021         6,653        6,449        204      3.1
CN0105900000000   01     059   Franklin County, AL                               2021        14,304       13,941        363      2.5
CN0106100000000   01     061   Geneva County, AL                                 2021        10,993       10,684        309      2.8
CN0106300000000   01     063   Greene County, AL                                 2021         2,897        2,698        199      6.9
CN0106500000000   01     065   Hale County, AL                                   2021         5,888        5,553        335      5.7
CN0106700000000   01     067   Henry County, AL                                  2021         6,881        6,662        219      3.2
CN0106900000000   01     069   Houston County, AL                                2021        46,880       45,286      1,594      3.4
CN0107100000000   01     071   Jackson County, AL                                2021        22,975       22,316        659      2.9
CN0107300000000   01     073   Jefferson County, AL                              2021       317,359      305,782     11,577      3.6
CN0107500000000   01     075   Lamar County, AL                                  2021         5,691        5,521        170      3.0
CN0107700000000   01     077   Lauderdale County, AL                             2021        42,080       40,745      1,335      3.2
CN0107900000000   01     079   Lawrence County, AL                               2021        14,378       13,956        422      2.9
CN0108100000000   01     081   Lee County, AL                                    2021        76,658       74,478      2,180      2.8
CN0108300000000   01     083   Limestone County, AL                              2021        46,572       45,430      1,142      2.5
CN0108500000000   01     085   Lowndes County, AL                                2021         3,578        3,248        330      9.2
CN0108700000000   01     087   Macon County, AL                                  2021         7,948        7,471        477      6.0
CN0108900000000   01     089   Madison County, AL                                2021       192,204      187,100      5,104      2.7
CN0109100000000   01     091   Marengo County, AL                                2021         7,709        7,384        325      4.2
CN0109300000000   01     093   Marion County, AL                                 2021        13,320       12,941        379      2.8
CN0109500000000   01     095   Marshall County, AL                               2021        44,714       43,644      1,070      2.4
CN0109700000000   01     097   Mobile County, AL                                 2021       191,711      182,672      9,039      4.7
CN0109900000000   01     099   Monroe County, AL                                 2021         7,356        6,942        414      5.6
CN0110100000000   01     101   Montgomery County, AL                             2021       106,663      101,486      5,177      4.9
CN0110300000000   01     103   Morgan County, AL                                 2021        59,256       57,716      1,540      2.6
CN0110500000000   01     105   Perry County, AL                                  2021         3,215        2,948        267      8.3
CN0110700000000   01     107   Pickens County, AL                                2021         7,501        7,194        307      4.1
CN0110900000000   01     109   Pike County, AL                                   2021        16,017       15,504        513      3.2
CN0111100000000   01     111   Randolph County, AL                               2021         9,408        9,150        258      2.7
CN0111300000000   01     113   Russell County, AL                                2021        23,281       22,566        715      3.1
CN0111500000000   01     115   St. Clair County, AL                              2021        41,195       40,108      1,087      2.6
CN0111700000000   01     117   Shelby County, AL                                 2021       118,212      115,683      2,529      2.1
CN0111900000000   01     119   Sumter County, AL                                 2021         4,520        4,317        203      4.5
CN0112100000000   01     121   Talladega County, AL                              2021        35,695       34,215      1,480      4.1
CN0112300000000   01     123   Tallapoosa County, AL                             2021        17,910       17,186        724      4.0
CN0112500000000   01     125   Tuscaloosa County, AL                             2021       101,104       97,442      3,662      3.6
CN0112700000000   01     127   Walker County, AL                                 2021        25,085       24,174        911      3.6
CN0112900000000   01     129   Washington County, AL                             2021         6,538        6,233        305      4.7
